Date,Close
17-Jul-15,94.05
16-Jul-15,94.20
15-Jul-15,93.39
14-Jul-15,93.10
13-Jul-15,90.70
10-Jul-15,90.10
9-Jul-15,90.65
8-Jul-15,90.49
7-Jul-15,90.55
6-Jul-15,90.57
3-Jul-15,91.22
2-Jul-15,90.47
1-Jul-15,90.28
30-Jun-15,89.26
29-Jun-15,90.50
26-Jun-15,92.00
25-Jun-15,92.01
24-Jun-15,91.91
23-Jun-15,91.89
22-Jun-15,91.18
19-Jun-15,91.90
18-Jun-15,92.28
17-Jun-15,92.04
16-Jun-15,93.47
15-Jun-15,91.88
12-Jun-15,93.06
11-Jun-15,93.26
10-Jun-15,94.20
9-Jun-15,92.65
8-Jun-15,93.24
5-Jun-15,92.76
4-Jun-15,93.60
3-Jun-15,92.31
2-Jun-15,92.61
1-Jun-15,93.23
29-May-15,93.27
28-May-15,94.75
27-May-15,95.30
26-May-15,93.00
25-May-15,96.30
22-May-15,96.47
21-May-15,96.48
20-May-15,97.86
19-May-15,98.50
18-May-15,98.09
15-May-15,98.15
14-May-15,97.85
13-May-15,97.39
12-May-15,97.25
11-May-15,96.50
8-May-15,96.27
7-May-15,97.01
6-May-15,97.37
5-May-15,97.00
4-May-15,97.15
30-Apr-15,94.11
29-Apr-15,94.60
28-Apr-15,96.32
27-Apr-15,95.76
24-Apr-15,96.11
23-Apr-15,96.61
22-Apr-15,96.26
21-Apr-15,96.70
20-Apr-15,96.95
17-Apr-15,97.49
16-Apr-15,97.88
15-Apr-15,97.82
14-Apr-15,96.76
13-Apr-15,96.75
10-Apr-15,98.30
9-Apr-15,97.99
8-Apr-15,96.80
7-Apr-15,97.60
6-Apr-15,94.75
1-Apr-15,93.19
31-Mar-15,93.80
30-Mar-15,93.08
27-Mar-15,93.20
26-Mar-15,92.82
25-Mar-15,92.92
24-Mar-15,93.39
23-Mar-15,91.39
20-Mar-15,91.89
19-Mar-15,91.90
18-Mar-15,91.87
17-Mar-15,91.69
13-Mar-15,91.28
12-Mar-15,92.16
11-Mar-15,91.72
10-Mar-15,92.25
9-Mar-15,92.67
6-Mar-15,91.14
5-Mar-15,91.75
4-Mar-15,91.84
3-Mar-15,92.79
2-Mar-15,92.90
27-Feb-15,94.89
26-Feb-15,93.80
25-Feb-15,92.66
24-Feb-15,91.49
23-Feb-15,92.51
20-Feb-15,93.26
19-Feb-15,93.32
18-Feb-15,93.00
17-Feb-15,92.70
16-Feb-15,92.19
13-Feb-15,92.87
12-Feb-15,91.84
11-Feb-15,90.45
10-Feb-15,91.72
9-Feb-15,92.40
6-Feb-15,92.02
5-Feb-15,90.69
4-Feb-15,89.09
3-Feb-15,88.96
30-Jan-15,88.90
29-Jan-15,89.22
28-Jan-15,90.49
27-Jan-15,91.42
26-Jan-15,90.70
23-Jan-15,89.40
22-Jan-15,90.15
21-Jan-15,89.24
20-Jan-15,89.29
19-Jan-15,89.40
16-Jan-15,89.61
15-Jan-15,88.99
14-Jan-15,92.39
13-Jan-15,92.40
12-Jan-15,91.90
9-Jan-15,91.53
8-Jan-15,91.48
7-Jan-15,90.60
6-Jan-15,90.20
5-Jan-15,90.22
2-Jan-15,91.93
